# ststem: nanjin, experiment: inc_b, nnodes: 2, process-per-node: 1
# msg_size, extra, datafile
1GiB, nanjin, ./data/nanjin/2024-07-30_15:41:59/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:42:52/data.csv
1B, nanjin, ./data/nanjin/2024-07-30_15:40:45/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_15:40:51/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_15:40:58/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_15:41:04/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_15:41:10/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_15:41:16/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_15:41:22/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_15:41:28/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_15:41:34/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_15:41:40/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_15:41:47/data.csv
1GiB, nanjin, ./data/nanjin/2024-07-30_15:41:59/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:42:52/data.csv
1B, nanjin2, ./data/nanjin/2024-08-07_09:16:06/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:16:12/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:16:18/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:16:24/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:16:31/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:16:37/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:16:43/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:16:49/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:16:55/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:17:01/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:17:08/data.csv
1GiB, nanjin2, ./data/nanjin/2024-08-07_09:17:20/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:18:15/data.csv
1B, nanjin, ./data/nanjin/2024-07-30_15:40:45/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_15:40:51/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_15:40:58/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_15:41:04/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_15:41:10/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_15:41:16/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_15:41:22/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_15:41:28/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_15:41:34/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_15:41:40/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_15:41:47/data.csv
1GiB, nanjin, ./data/nanjin/2024-07-30_15:41:59/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:42:52/data.csv
1B, nanjin, ./data/nanjin/2024-07-30_15:40:45/data.csv
4B, nanjin, ./data/nanjin/2024-07-30_15:40:51/data.csv
8B, nanjin, ./data/nanjin/2024-07-30_15:40:58/data.csv
64B, nanjin, ./data/nanjin/2024-07-30_15:41:04/data.csv
512B, nanjin, ./data/nanjin/2024-07-30_15:41:10/data.csv
4KiB, nanjin, ./data/nanjin/2024-07-30_15:41:16/data.csv
32KiB, nanjin, ./data/nanjin/2024-07-30_15:41:22/data.csv
256KiB, nanjin, ./data/nanjin/2024-07-30_15:41:28/data.csv
2MiB, nanjin, ./data/nanjin/2024-07-30_15:41:34/data.csv
16MiB, nanjin, ./data/nanjin/2024-07-30_15:41:40/data.csv
128MiB, nanjin, ./data/nanjin/2024-07-30_15:41:47/data.csv
1GiB, nanjin, ./data/nanjin/2024-07-30_15:41:59/data.csv
8GiB, nanjin, ./data/nanjin/2024-07-30_15:42:52/data.csv
1B, nanjin2, ./data/nanjin/2024-08-07_09:16:06/data.csv
4B, nanjin2, ./data/nanjin/2024-08-07_09:16:12/data.csv
8B, nanjin2, ./data/nanjin/2024-08-07_09:16:18/data.csv
64B, nanjin2, ./data/nanjin/2024-08-07_09:16:24/data.csv
512B, nanjin2, ./data/nanjin/2024-08-07_09:16:31/data.csv
4KiB, nanjin2, ./data/nanjin/2024-08-07_09:16:37/data.csv
32KiB, nanjin2, ./data/nanjin/2024-08-07_09:16:43/data.csv
256KiB, nanjin2, ./data/nanjin/2024-08-07_09:16:49/data.csv
2MiB, nanjin2, ./data/nanjin/2024-08-07_09:16:55/data.csv
16MiB, nanjin2, ./data/nanjin/2024-08-07_09:17:01/data.csv
128MiB, nanjin2, ./data/nanjin/2024-08-07_09:17:08/data.csv
1GiB, nanjin2, ./data/nanjin/2024-08-07_09:17:20/data.csv
8GiB, nanjin2, ./data/nanjin/2024-08-07_09:18:15/data.csv
